pdb_id,irms,Lrms,dockQ,idr_len,num_interface_resid,plddt,sasa
1C8O,1.271,1.642,0.825,32.0,31.0,86.09976473181133,0.0
1CF4,9.047,16.042,0.135,44.0,27.0,82.51268446754509,0.0
1D5S,4.69,3.677,0.606,41.0,38.0,88.81053525984858,0.0
